Month,Stage,Opening Balance,Tuition & Fees,Living Expenses,Summer Earnings,Stipend / Reimbursement,Electives / Travel,CaRMS Fees,Exam / LMCC / Licensing,Residency / College Fee,Residency Repayment,Interest Added,Closing Balance
2028-01,Undergrad Year 2,38132.87,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.53,40281.41
2028-02,Undergrad Year 2,40281.41,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.32,42427.73
2028-03,Undergrad Year 2,42427.73,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.8,44592.53
2028-04,Undergrad Year 2,44592.53,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.29,46759.82
2028-05,Undergrad Year 2,46759.82,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,179.98,46439.8
2028-06,Undergrad Year 2,46439.8,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,173.15,46112.95
2028-07,Undergrad Year 2,46112.95,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,177.53,45790.48
2028-08,Undergrad Year 2,45790.48,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,176.31,45466.79
2028-09,Undergrad Year 3,45466.79,7304.36,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.26,54968.4
2028-10,Undergrad Year 3,54968.4,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.28,57180.68
2028-11,Undergrad Year 3,57180.68,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.42,59394.1
2028-12,Undergrad Year 3,59394.1,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.04,61623.14
2029-01,Undergrad Year 3,61623.14,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.48,63860.61
2029-02,Undergrad Year 3,63860.61,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.78,66082.39
2029-03,Undergrad Year 3,66082.39,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.36,68336.75
2029-04,Undergrad Year 3,68336.75,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.29,70591.04
2029-05,Undergrad Year 3,70591.04,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,270.21,70361.26
2029-06,Undergrad Year 3,70361.26,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,260.79,70122.05
2029-07,Undergrad Year 3,70122.05,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,268.44,69890.49
2029-08,Undergrad Year 3,69890.49,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,267.56,69658.05
2029-09,Undergrad Year 4,69658.05,6787.35,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,78729.4
2029-10,Undergrad Year 4,78729.4,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.25,81031.65
2029-11,Undergrad Year 4,81031.65,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.81,83332.46
2029-12,Undergrad Year 4,83332.46,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.68,85652.13
2030-01,Undergrad Year 4,85652.13,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.46,87980.59
2030-02,Undergrad Year 4,87980.59,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.25,90284.84
2030-03,Undergrad Year 4,90284.84,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,92630.85
2030-04,Undergrad Year 4,92630.85,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.31,94974.15
2030-05,Undergrad Year 4,94974.15,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,362.54,94836.69
2030-06,Undergrad Year 4,94836.69,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,350.47,94687.16
