Month,Stage,Opening Balance,Tuition & Fees,Living Expenses,Summer Earnings,Stipend / Reimbursement,Electives / Travel,CaRMS Fees,Exam / LMCC / Licensing,Residency / College Fee,Residency Repayment,Interest Added,Closing Balance
2028-12,Undergrad Year 3,88305.87,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.55,91145.41
2029-01,Undergrad Year 3,91145.41,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3,93995.71
2029-02,Undergrad Year 3,93995.71,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.67,96821.38
2029-03,Undergrad Year 3,96821.38,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.79,99693.17
2029-04,Undergrad Year 3,99693.17,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.16,102563.33
2029-05,Undergrad Year 3,102563.33,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,392.31,102955.64
2029-06,Undergrad Year 3,102955.64,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,381.2,103336.83
2029-07,Undergrad Year 3,103336.83,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,395.24,103732.07
2029-08,Undergrad Year 3,103732.07,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,396.74,104128.81
2029-09,Undergrad Year 4,104128.81,12005.8,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.4,119065.01
2029-10,Undergrad Year 4,119065.01,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.01,122021.02
2029-11,Undergrad Year 4,122021.02,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.97,124972.99
2029-12,Undergrad Year 4,124972.99,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.38,127951.37
2030-01,Undergrad Year 4,127951.37,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.66,130941.03
2030-02,Undergrad Year 4,130941.03,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,133893.03
2030-03,Undergrad Year 4,133893.03,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.16,136905.18
2030-04,Undergrad Year 4,136905.18,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.5,139911.68
2030-05,Undergrad Year 4,139911.68,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,533.72,140445.41
2030-06,Undergrad Year 4,140445.41,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,518.56,140963.97
2030-07,Undergrad Year 4,140963.97,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,537.71,141501.68
2030-08,Undergrad Year 4,141501.68,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,539.75,142041.42
2030-09,MSc Year 1,142041.42,13448.02,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.6,158564.04
2030-10,MSc Year 1,158564.04,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.57,161669.61
2030-11,MSc Year 1,161669.61,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.24,164766.85
2030-12,MSc Year 1,164766.85,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.06,167895.9
2031-01,MSc Year 1,167895.9,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.9,171036.8
2031-02,MSc Year 1,171036.8,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.1,174125.91
2031-03,MSc Year 1,174125.91,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.49,177290.4
2031-04,MSc Year 1,177290.4,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.47,180444.87
2031-05,MSc Year 1,180444.87,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.42,183633.29
2031-06,MSc Year 1,183633.29,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.71,186811.0
2031-07,MSc Year 1,186811.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.52,190023.53
2031-08,MSc Year 1,190023.53,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.69,193248.21
2031-09,MSc Year 2,193248.21,13448.02,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.22,209958.45
2031-10,MSc Year 2,209958.45,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.17,213258.62
2031-11,MSc Year 2,213258.62,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.26,216544.88
2031-12,MSc Year 2,216544.88,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.11,219869.99
2032-01,MSc Year 2,219869.99,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.7,223207.68
2032-02,MSc Year 2,223207.68,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.1,226502.78
2032-03,MSc Year 2,226502.78,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.81,229865.59
2032-04,MSc Year 2,229865.59,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.11,233212.71
2032-05,MSc Year 2,233212.71,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.22,236600.92
2032-06,MSc Year 2,236600.92,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.79,239972.71
2032-07,MSc Year 2,239972.71,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.81,243386.52
2032-08,MSc Year 2,243386.52,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.74,246813.26
2032-09,MD Year 1,246813.26,27300.2,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.23,277622.7
2032-10,MD Year 1,277622.7,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.37,281179.07
2032-11,MD Year 1,281179.07,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.12,284714.19
2032-12,MD Year 1,284714.19,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.22,288297.41
2033-01,MD Year 1,288297.41,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.79,291894.2
2033-02,MD Year 1,291894.2,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.35,295396.55
2033-03,MD Year 1,295396.55,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.67,299020.22
2033-04,MD Year 1,299020.22,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.49,302620.71
2033-05,MD Year 1,302620.71,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.02,306271.73
2033-06,MD Year 1,306271.73,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.06,309898.79
2033-07,MD Year 1,309898.79,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.58,313577.37
2033-08,MD Year 1,313577.37,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192.51,317269.88
2033-09,MD Year 2,317269.88,27300.2,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267.39,348337.47
2033-10,MD Year 2,348337.47,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.12,352161.59
2033-11,MD Year 2,352161.59,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295.2,355956.79
2033-12,MD Year 2,355956.79,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.97,359809.77
2034-01,MD Year 2,359809.77,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.56,363677.33
2034-02,MD Year 2,363677.33,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.8,367425.13
2034-03,MD Year 2,367425.13,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.39,371321.52
